batch,box,edition_seq_num,filepath,geographic_coverage,image,lccn,name,ocr,page_seq_num,page_url,place_of_publication,pub_date,publisher,score,url,id,choice
okhi_ham_ver01,"[0.5706211635044642, 0.7756719712174839, 0.7058423723493303, 0.8973105414796271]",1,okhi_ham_ver01/data/sn86090528/00295864655/1920081801/0762/005_6_95.jpg,['Oklahoma--Grady--Chickasha'],"https://chroniclingamerica.loc.gov/iiif/2/okhi_ham_ver01%2Fdata%2Fsn86090528%2F00295864655%2F1920081801%2F0762.jp2/pct:57.06,77.57,13.53,12.17/!400,400/0/default.jpg",sn86090528,The Chickasha daily express.,"['EiLIMJNATE', 'QIESTION', '6', 'o;m', 'rest', 'ussnivil', 'lire', 'insnrcil', 'bv', 'ns.', 'when', 'Finan-', 'Vi.it', 'you', 'chilly', 'sound,', 'Hie', 'companies', 'we', 'represent', '.', 'tsnecialie', 'on', '(iiick', 'iuljustiiiinl.s,', 'rates.', 'equitable', 'C.', '13.', 'March', '209', 'Ty', 'Bldo-', 'hon', 'II']",762,https://chroniclingamerica.loc.gov/data/batches/okhi_ham_ver01/data/sn86090528/00295864655/1920081801/0762.jp2,"Chickasha, Indian Territory [Okla.]",1920-08-18,A.M. Dawson,0.9528712630271912,https://news-navigator.labs.loc.gov/data/okhi_ham_ver01/data/sn86090528/00295864655/1920081801/0762/005_6_95.jpg,729,text_only
arhi_gyarados_ver01,"[0.6370749453508503, 0.6960787422213204, 0.9851410639737465, 0.9671275745738637]",1,arhi_gyarados_ver01/data/sn90050307/00414212906/1910111701/0592/000_6_98.jpg,['Arkansas--Nevada--Prescott'],"https://chroniclingamerica.loc.gov/iiif/2/arhi_gyarados_ver01%2Fdata%2Fsn90050307%2F00414212906%2F1910111701%2F0592.jp2/pct:63.7,69.61,34.81,27.11/!400,400/0/default.jpg",sn90050307,The Prescott daily news.,"['4', 'STOP!', 'Do', 'your', 'feet', 'ache?', 'We', 'can', 'help', 'you,', 'do', 'notblame', 'your', 'feet,', 'it', 'is', 'the', 'shoe', 'you', 'are', 'wearing.', 'Come', 'in', 'and', 'look', 'over', 'our', 'line', 'of', 'A.', 'Nettleton', 'Shoes', 'tor', 'men.', 'For', 'style,', 'fit', 'and', 'comfort,', 'and', 'wear', 'they', 'are', 'unexcelled.', 'WAT', 'W.', 'WHIT:', ""g.*ffl|'lf^*~.,’TJ"", ""lmi—'■"", '■', 'jt', 'll*WBlilT', '-rvrTr-T^»']",592,https://chroniclingamerica.loc.gov/data/batches/arhi_gyarados_ver01/data/sn90050307/00414212906/1910111701/0592.jp2,"Prescott, Ark.",1910-11-17,[News Print. Co.],0.9891652464866638,https://news-navigator.labs.loc.gov/data/arhi_gyarados_ver01/data/sn90050307/00414212906/1910111701/0592/000_6_98.jpg,683,text_only
tu_isaac_ver01,"[0.6839383117154113, 0.5946456410836655, 0.9316682734041133, 0.6752409037683467]",1,tu_isaac_ver01/data/sn86053488/0021247003A/1880122301/0423/008_6_95.jpg,['Tennessee--Gibson--Milan'],"https://chroniclingamerica.loc.gov/iiif/2/tu_isaac_ver01%2Fdata%2Fsn86053488%2F0021247003A%2F1880122301%2F0423.jp2/pct:68.39,59.47,24.78,8.06/!400,400/0/default.jpg",sn86053488,The Milan exchange.,"['""OOTTQN', 'FAOTOBS.', 'And', 'Commission', 'Merchants,', 'NEW', 'ORLEANS.', 'LOUISIANA.']",423,https://chroniclingamerica.loc.gov/data/batches/tu_isaac_ver01/data/sn86053488/0021247003A/1880122301/0423.jp2,"Milan, Gibson County, Tenn.",1880-12-23,W.A. Wade,0.9554866552352905,https://news-navigator.labs.loc.gov/data/tu_isaac_ver01/data/sn86053488/0021247003A/1880122301/0423/008_6_95.jpg,379,text_only
txdn_garza_ver01,"[0.03848518082718541, 0.3185994657751632, 0.16466398175415856, 0.501904213265197]",1,txdn_garza_ver01/data/sn83045227/00279559903/1890011001/0036/015_6_90.jpg,['Texas--Bexar--San Antonio'],"https://chroniclingamerica.loc.gov/iiif/2/txdn_garza_ver01%2Fdata%2Fsn83045227%2F00279559903%2F1890011001%2F0036.jp2/pct:3.84,31.86,12.62,18.34/!400,400/0/default.jpg",sn83045227,Freie Presse für Texas. [volume],"['IMiche', 'Mite·', ';', 'Wota,', 'Tol,', 'Jana-se', 'IM', 'e', 'Midas', 'Im', 'efähe', '1', 'bring', 'leide-Id,', 'e', 'Versteht-in&#39;s', 'Versen-SMALL', 'nahm,', 'vorher', 'ha', 'Miche', 'tapennecdsonvut', 'orien', 'Feinde-M', 'chmeekeei', 'inå', 'ver', 'Tedeum', 'The', 'des', 'e', 'die', 'Insälle', 'tbbekam-', 'betoe', 'tean', 'sich', 'nd', 'du', 'seltsam-ist', 'blieben', 'zuweilen', 'Hex-u', 'ne', 'es', 'ZEIT-kamst', 'dbmbe', 'sagst-n', 'stB', 'owgdievtku', 'en', 'oeos', 'e', 'e', 'enu', 'n', 'ca', 'are', ',', 'ei', 'wer', 'konnten', 'sie', 'dann', 'kaum', 'im', 'Bette', 'halten,', 'manch-tat', 'wurde', 'ide', 'Körper', 'durch', 'die', 'Keime-se', 'mehret-es', 'wie', 'statt', 'gehalten', 'Sie', 'nahm', 'nun', 'gegen', 'tWer-le', 'ldiesa', 'Leiden', 'mir', '2', 'loschen', 'des', 'Netveusstäeteks', 'und', 'wurde', 'dadurch', 'voll', 'dt', 'kamt', 'was', 'meine', 'san', 'Heer-ne', 'deseugexh', 'Itittel', 'hatte', 'wirllt', 'di.', 'esvs', '0', 'MUS', 'D.', 'S.', 'Ucctlltx', 'sine', 'Flasche', 'weit-te', 'lin', 'Ctuart,', 'Holt', 'co»', 'Rebr', '&#39;88.', 'Monate', 'lanq', 'von', 'Rdeumatitmus,', 'e', 'tot', 'met-ten', 'nicht', 'ichcafenm', 'konnte', '.', 'bversteckte', 'tte', 'ohne', 'Bee', 'sobald', 'ich', 'Auigsseerveusstät', 'nna', 'm', 'verschwan', 'Schlafstellte', 'but-Weis', 'und', 'ehe', 'ich', 'die', 'MM', '»s-', '»wes-W', 'II', 'Wenn-et', 'Ile', 'c.', 'staate', 'Pceie', '81', '00', 'per', 'Flasche,', '6', 'Flasche-i', '55', '00', 'Zum', 'Vertan', 'in', 'Sen', 'Antouio', 'bei', 'Adolpb', 'Dreif,', 'Ro.', '17,19', 'und', '21', 'Manto-Strafe.']",36,https://chroniclingamerica.loc.gov/data/batches/txdn_garza_ver01/data/sn83045227/00279559903/1890011001/0036.jp2,"San Antonio, Tex.",1890-01-10,H. Pollmar,0.9037857055664062,https://news-navigator.labs.loc.gov/data/txdn_garza_ver01/data/sn83045227/00279559903/1890011001/0036/015_6_90.jpg,396,visual
dlc_noone_ver01,"[0.50272599521895, 0.611409534107555, 0.9658495468892825, 0.9770600579001687]",1,dlc_noone_ver01/data/sn83045462/00280600283/1930031801/0690/004_6_99.jpg,['District of Columbia--Washington'],"https://chroniclingamerica.loc.gov/iiif/2/dlc_noone_ver01%2Fdata%2Fsn83045462%2F00280600283%2F1930031801%2F0690.jp2/pct:50.27,61.15,46.32,36.57/!400,400/0/default.jpg",sn83045462,Evening star. [volume],"['Now', 'You', 'may', 'have', 'Cigar', 'Quality', 'without', 'the', 'Imported', 'Price,', 'I""', '-', '""""""', '11', '1', ""'"", '""\'', 'rrrrTmn—', 'i', 'hhim', 'what', 'Cortf*', 'has', 'accomplished', 'In', 'this', 'new', 'XI', ""'"", '10c', 'cigar.', 'Three', 'generations', 'of', 'fine', 'cigar', 'HKi', 'I', 'I', 'n', 'im', 'making', 'have', 'made', 'possible', 'this', 'splendid]', 'O', 'those', 'critical', 'cigar', 'smokers', 'who', 'achievement.', '.', 'imp', '°?', 'ib,', 'V°', 'V™', 'duce', '*', 'fi', 'P', 'e', 'PKi.l.l.rljJ', 'Today,', 'Cortex', 'stakes', 'Its', 'nation-wide', 'repu-', 'E?', 'n?', 'ry', 'C', 'gor', 'f', '°', 'r', '10C', '’', 'make', '■■■■*■■', 'tation', 'as', 'America’s', 'finest', 'cigar', 'makers', 'on', 'this', 'proposition.', 'this', 'new', 'Cortex', 'at', '10c.', 'At', 'the', 'nearest', 'cigar', 'Buy', 'a', 'new', 'Cortex', 'cigar', 'for', '10c.', 'Then', 'forget', 'all', 'Stand', 'you’ll', 'find', 'the', 'new', 'Cortex', 'in', 'two', 'shapes,', 'about', 'thfc', 'price.', 'Compare', 'its', 'mild', 'fragrant', 'good-', 'Diplomat', 'and', 'Boston', 'Grande.', 'The', 'first', 'time', 'you', 'ness', 'with', 'the', 'high-priced', 'brand', 'you’re', 'now', 'smok-', 'try', 'one,', 'you’ll', 'understand', 'why', 'the', 'Cortex', 'trade', 'ing.', 'Test', 'its', 'smooth,', 'free', 'smoking', 'qualities.', 'Put', 'it', 'mark', 'has', 'been', 'for', 'half', 'a', 'century', '“Cigars', 'for', 'men', 'through', 'all', 'the', 'paces.', 'Then', 'you’ll', 'understand', 'just', 'of', 'brains.”', 'Other', 'sizes', 'in', 'the', 'new', 'Cortez,', '2', 'for', '25c*', '15c', 'and', '3', 'for', '50c', 'Capital', 'Cigar', '&', 'Tobacco', 'Co.,', 'Washington', 'Distributors', 't', '>■', '■', '■', '.']",690,https://chroniclingamerica.loc.gov/data/batches/dlc_noone_ver01/data/sn83045462/00280600283/1930031801/0690.jp2,"Washington, D.C.",1930-03-18,W.D. Wallach & Hope,0.9932071566581726,https://news-navigator.labs.loc.gov/data/dlc_noone_ver01/data/sn83045462/00280600283/1930031801/0690/004_6_99.jpg,816,visual
in_chacha_ver03,"[0.18385946696700015, 0.5822690372578582, 0.3133268284402102, 0.8670240971080044]",1,in_chacha_ver03/data/sn84038034/00200295894/1860042601/0715/010_6_91.jpg,['Indiana--Marshall--Plymouth'],"https://chroniclingamerica.loc.gov/iiif/2/in_chacha_ver03%2Fdata%2Fsn84038034%2F00200295894%2F1860042601%2F0715.jp2/pct:18.38,58.23,12.95,28.48/!400,400/0/default.jpg",sn84038034,Marshall County Republican.,"[""'"", ';', ""'"", 'j', ';', 'i', '1', 'j', 'j', 'j', 'j', 'j', ';', 'H', 'Ä.RTFOKD', 'FIRE', 'INSURANCE', 'COMPANY.', 'i.cokpokati:d', 'a.', 'd.', 'iio.', 'Cn', 'iRTrR', 'FERPETCAt.', ""Al'THORIZF.D"", 'CAPITAL,...', 'CAPITAL', 'PAID', 'IN', 'SURPLUS,', 'OYER', '.fl', "",00ft.'"", '.', '500,000.', '4.16,000', 'Tti""', 'rorn-i-iin', ""i-urrs'."", 'v', 'this', 'Company', 'darine', 'thf', 'last', 'fifty', 'riari,', 'It', 'a-i', 'bnrrafaai', 'nurso', 'in', 'the', 'tranarti""n', 'of', 'its', 'hrwinens,', 'awl', 'th', 'jimmpt', 'nn.l', 'lib-ml', 'ettlufnt-.it', 'of', 'Ljkm-s.', 'tnjrtlir', 'with', 'the', 'rharnrtrr', 'of', 'the', 's-curitie', 'coinprisinc', 'it', 'A-ts,', 'n!lti', 'th', ""'.inpa-i"", 'to', 'tli?', 'u;mMt', 'confiil', ""'ii.-e"", 'of', ""th'-puhii'-,"", 'a-', 'n:fi', 'niin', 'r.-.i.ii-lo', ""Io'iini"", 'icj', 'aains:', 'Lo-s', 'vi', 'Dam', 'lv', 'Fitr.', 'aat3alj', 'UOItACE', ""C'RBIN,"", 'Agon.', 'HE', 'WAY', 'TO', 'MAKE', 'MONEY', 'to', 'Luv', 'our', 'U', 'tu', 'utg', 'it,', 'ai-.d', 'tie', 'way', 'to', 'it', 'i?', 'OF', 'If.inv', 'niw', 'i.', 'ini""\'inl', 't)', 'd-inht', 'tho', 'truth', 'nf', 'thf', 'ah.n-', 'm', 'rtwn', 'tsw?', 'rmn', 'hm', 'it', 'tnctk-.nly', 'd', 'm.-ns', 'rativl', 'tu', 'tu.', 'in', 'ur', '.tor,4', 'examining', '.g.S', 'A', 'frW&MSUL', 'w', 'w', 'Thi-ir', 'sfo-k', 'rontt', 'of', 'errr', 'description', 'of', 'Goods', 'usually', 'kpt', 'in', 'iill', 'llist-i:l', 's', 'Lry', 'Uojdj', 'store', ',', 'Ladies', '&', ""Gentlemen's"", 'Dress', 'Goods', 'Silks,', 'Meriiioes', 'DELAIXES,', 'PRIMS,', 'Shawl?,', 'Gloves,', 'Hosiery,', 'CLOTHING,', 'HATS', '&', 'CAPS,', 'BOOTS', 'AND', 'SHOES,', '.', 'Shirt', 'r', '.Mar-,', ""B'Tsrtn,"", 'Cnitershir!,', 'Dntxiars,', 'Triukf,', 'c,', 'aU', 'of', 'wla.U', 'arc', 'being', 'sold', 'at', 'price', 'so', 'Cnrtn-Uis,', '3x', 'EXTREMELY', 'LOW', 'an', 'to', 'afltnninh', 'r-r-rT', 'one,', 'and', 'if', 'tloe', 'wisliinj', 'to', ""!-urP'.T"", '!', ""bi.-ai.s'"", 'b', 'w', 'iih', 'Winter', 'will', 'rrmrr.fwT', 'to', 'tfri)', 'n', 'a', 'rail', 'Vlbn', 'pur.', 'lianiop', 'lowhT"".', '-', 'will', 'ta', 'insWina;', 'the', 'oooiw', 'at', 'pru', 'i', 'that', 'USÜOT', 'BE', 'EXCELLED.']",715,https://chroniclingamerica.loc.gov/data/batches/in_chacha_ver03/data/sn84038034/00200295894/1860042601/0715.jp2,"Plymouth, Ind.",1860-04-26,I. Mattingly,0.9152671098709106,https://news-navigator.labs.loc.gov/data/in_chacha_ver03/data/sn84038034/00200295894/1860042601/0715/010_6_91.jpg,115,text_only
nn_nietzsche_ver01,"[0.7348736935325477, 0.2737567378025429, 0.9671619899077581, 0.4098760159470393]",1,nn_nietzsche_ver01/data/sn83030193/100481510/1900020801/0350/004_6_98.jpg,['New York--New York--New York'],"https://chroniclingamerica.loc.gov/iiif/2/nn_nietzsche_ver01%2Fdata%2Fsn83030193%2F100481510%2F1900020801%2F0350.jp2/pct:73.48,27.38,23.23,13.62/!400,400/0/default.jpg",sn83030193,The evening world. [volume],"['r', 'r', 'Maw', 'Jonassoo', 'a', 'el', 'will', 'show', 'advance', 'styles', 'for', 'spring', 'of', 'Ladies', 'Separate', 'Skirts', 'In', 'addition', 'will', 'offer', 'Ladies', 'Separate', 'Skirts', 'of', 'superior', 'quality', 'cheviot', 'icrgcs', 'new', 'plait', 'backs', 'tailor', 'C7', '75', 'made', 'or', 'fancy', 'appliqued', 'front', 'and', 'back', 'P', '7', 'regular', 'retail', 'value', '12', 'e', 'BROADWAY', 'AND', '12TH', 'ST']",350,https://chroniclingamerica.loc.gov/data/batches/nn_nietzsche_ver01/data/sn83030193/100481510/1900020801/0350.jp2,"New York, N.Y.",1900-02-08,[publisher not identified],0.9843751788139343,https://news-navigator.labs.loc.gov/data/nn_nietzsche_ver01/data/sn83030193/100481510/1900020801/0350/004_6_98.jpg,545,text_only
mthi_eveningprimrose_ver01,"[0.0708158106743535, 0.4403670536347679, 0.2725211517720283, 0.7645022089184371]",1,mthi_eveningprimrose_ver01/data/sn86075096/00370581714/1950070101/0570/000_6_98.jpg,['Montana--Cascade--Great Falls'],"https://chroniclingamerica.loc.gov/iiif/2/mthi_eveningprimrose_ver01%2Fdata%2Fsn86075096%2F00370581714%2F1950070101%2F0570.jp2/pct:7.08,44.04,20.18,32.42/!400,400/0/default.jpg",sn86075096,Montana farmer-stockman. [volume],"['SEE', 'the', 'First', 'State', 'Championship', 'RODEO', 'Performed', 'by', 'High', 'School', 'Students', 'At', 'Augusta,', 'Montana', 'July', '16', 'You', 'Ride', ""'Em"", 'Better', 'With', 'Hyer', 'Boots', '(.', 'H.', 'Hyer', '&', 'Sons,', 'Inc.']",570,https://chroniclingamerica.loc.gov/data/batches/mthi_eveningprimrose_ver01/data/sn86075096/00370581714/1950070101/0570.jp2,"Great Falls, Mont.",1950-07-01,"Montana Farmer, Inc.",0.9840514063835144,https://news-navigator.labs.loc.gov/data/mthi_eveningprimrose_ver01/data/sn86075096/00370581714/1950070101/0570/000_6_98.jpg,1065,text_only
ncu_haw_ver01,"[0.8318005792025862, 0.7407072359922702, 0.9483505775188578, 0.7854665120442709]",1,ncu_haw_ver01/data/sn91068402/00295878666/1890030601/0264/003_6_94.jpg,['North Carolina--Vance--Henderson'],"https://chroniclingamerica.loc.gov/iiif/2/ncu_haw_ver01%2Fdata%2Fsn91068402%2F00295878666%2F1890030601%2F0264.jp2/pct:83.18,74.08,11.66,4.48/!400,400/0/default.jpg",sn91068402,The gold leaf. [volume],"[""DON'T"", 'FAIL', '!', 'to', 'send', '10', 'cts', 'for', 'the', 'Largest,', 'Handsomest', 'and', 'most', 'complete', 'Catalogue', 'of', 'TVFK,', 'PKKKWKK,', 'CUT.', '&', 'THlhlished.', 'IAJ', 'W', 'rJST', ""I'KI"", 't', 'r.i.', 'LA', 'National', 'Type', 'Co,', 'LOWKST', ""I'KK"", 'KS.', 'LArMJKaT', 'VAUIETY', '58', '8.', 'Third', 'St', 'PHIL', 'A', 'DELPHI', 'Please', 'mention', 'this', 'paper.']",264,https://chroniclingamerica.loc.gov/data/batches/ncu_haw_ver01/data/sn91068402/00295878666/1890030601/0264.jp2,"Henderson, N.C.",1890-03-06,Thad R. Manning,0.9435721039772034,https://news-navigator.labs.loc.gov/data/ncu_haw_ver01/data/sn91068402/00295878666/1890030601/0264/003_6_94.jpg,400,text_only
dlc_1rothko_ver02,"[0.8622800080672555, 0.19114699132803492, 0.9825309421705163, 0.23560053527034494]",1,dlc_1rothko_ver02/data/sn83045462/00280603065/1940112101/0753/009_6_95.jpg,['District of Columbia--Washington'],"https://chroniclingamerica.loc.gov/iiif/2/dlc_1rothko_ver02%2Fdata%2Fsn83045462%2F00280603065%2F1940112101%2F0753.jp2/pct:86.22,19.12,12.03,4.45/!400,400/0/default.jpg",sn83045462,Evening star. [volume],"[""'"", '-', ""'W"", 'GAYETYr', ';', ':;', 'mtfjlTJUiyigCT', '8:30', 'Y', 'ANN', '-V', '««', '1', 'corio', '?r;,r,', 'SEATSjg', '~', '~l', ""'7"", '‘“s""']",753,https://chroniclingamerica.loc.gov/data/batches/dlc_1rothko_ver02/data/sn83045462/00280603065/1940112101/0753.jp2,"Washington, D.C.",1940-11-21,W.D. Wallach & Hope,0.95655757188797,https://news-navigator.labs.loc.gov/data/dlc_1rothko_ver02/data/sn83045462/00280603065/1940112101/0753/009_6_95.jpg,953,visual
